1/5/2018  - 2:08:43 PM --- New session.....................................................
1/20/2018  - 11:05:44 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  108
1/20/2018  - 11:05:45 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  110
1/20/2018  - 11:05:45 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  112
1/20/2018  - 11:05:45 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  114
1/20/2018  - 11:05:45 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  116
1/20/2018  - 11:05:46 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  118
1/20/2018  - 11:05:46 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  120
1/20/2018  - 11:05:46 AM --- Data type mismatch in criteria expression. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  258
1/20/2018  - 11:05:46 AM --- Data type mismatch in criteria expression. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  102
1/20/2018  - 11:05:46 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  106
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  108
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  110
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  112
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  114
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  116
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  118
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.SwitchInfoTblCollector /  120
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  264
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  268
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  270
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:47 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:48 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:49 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:50 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:51 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:51 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:51 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:51 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:51 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:51 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:51 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:51 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:51 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:51 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:51 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:51 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:52 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:52 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:52 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:52 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:52 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:53 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:54 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  282
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  272
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  276
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  278
1/20/2018  - 11:05:55 AM --- Operation is not allowed when the object is closed. --- in LendingClient.frm_Collectors.cmdAddCollector_Click /  280
